date,daily_avg_aqi,grand_avg_aqi,forecast_type
2026-02-08,102.56,104.74,3-day-ensemble
2026-02-09,90.07,94.02,3-day-ensemble
2026-02-10,105.06,107.43,3-day-ensemble
2026-02-11,101.27,103.44,3-day-ensemble
2026-02-12,101.32,103.43,3-day-ensemble
2026-02-13,131.28,131.93,3-day-ensemble
2026-02-14,125.86,125.98,3-day-ensemble
2026-02-15,121.08,119.35,3-day-ensemble
2026-02-16,130.03,128.23,3-day-ensemble
2026-02-17,109.92,106.81,3-day-ensemble
2026-02-18,113.81,113.57,3-day-ensemble
2026-02-19,104.98,105.11,3-day-ensemble
2026-02-20,116.26,116.94,3-day-ensemble
2026-02-21,106.68,106.85,3-day-ensemble
2026-02-22,100.97,101.08,3-day-ensemble
2026-02-23,97.0,96.02,3-day-ensemble
2026-02-24,97.25,96.02,3-day-ensemble
2026-02-25,93.82,96.02,3-day-ensemble
